year,name,games,points,total_rebounds,assists,steals,blocks,field_goal,3_point_field_goal,free_throw,win_shares,win_shares_per_48_mins
1993,Dan Issel,1218,22.6,9.1,2.4,1,0.5,0.499,0.204,0.793,157.8,0.181
2016,Allen Iverson,914,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99,0.126
1994,Buddy Jeannette,139,7.2,,2.1,,,0.341,,0.781,15.7,
2010,Dennis Johnson,1100,14.1,3.9,5,1.3,0.6,0.445,0.172,0.797,82.6,0.11
2010,Gus Johnson,631,16.2,12.1,2.5,,,0.44,0.19,0.7,36.9,0.085
2002,Magic Johnson,906,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225
1977,William Johnson,,,,,,,,,,,
1990,Neil Johnston,516,19.4,11.3,2.5,,,0.444,,0.768,92,0.241
2019,Bobby Jones,941,12.1,6.1,2.7,1.5,1.4,0.56,0,0.766,94.1,0.175
1989,K.C. Jones,676,7.4,3.5,4.3,,,0.387,,0.647,38.6,0.106
1984,Sam Jones,871,17.7,4.9,2.5,,,0.456,,0.803,92.3,0.182
2009,Michael Jordan,1072,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,214,0.25
2018,Jason Kidd,1391,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133
2013,Bernard King,874,22.5,5.8,3.3,1,0.3,0.518,0.172,0.73,75.4,0.123
1976,Ed Krause,,,,,,,,,,,
1961,Bob Kurland,,,,,,,,,,,
1992,Bob Lanier,959,20.1,10.1,3.1,1.1,1.5,0.514,0.154,0.767,117.1,0.175
1966,Joe Lapchick,,,,,,,,,,,
2015,Lisa Leslie,,,,,,,,,,,
1996,Nancy Lieberman-Cline,,,,,,,,,,,
1988,Clyde Lovellette,704,17,9.5,1.6,,,0.443,,0.757,70.6,0.178
1980,Jerry Lucas,829,17,15.6,3.3,0.4,0.3,0.499,,0.783,98.4,0.147
1959,Hank Luisetti,,,,,,,,,,,
1960,Ed Macauley,641,17.5,7.5,3.2,,,0.436,,0.761,100.4,0.196
2010,Karl Malone,1476,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205
2001,Moses Malone,1455,20.3,12.3,1.3,0.8,1.3,0.495,0.096,0.76,179.1,0.174
1987,Pete Maravich,658,24.2,4.2,5.4,1.4,0.3,0.441,0.667,0.82,46.7,0.092
2005,Hortencia Marcari,,,,,,,,,,,
2014,Sarunas Marciulionis,363,12.8,2.3,2.2,1.3,0.1,0.505,0.369,0.768,20,0.118
1982,Slater Martin,745,9.8,3.4,4.2,,,0.364,,0.762,47.5,0.087
2000,Bob McAdoo,852,22.1,9.4,2.3,1,1.5,0.503,0.081,0.754,89.1,0.151
2012,Katrina McClain,,,,,,,,,,,
1960,Branch McCracken,,,,,,,,,,,
1962,Jack McCracken,,,,,,,,,,,
1988,Bob McDermott,,,,,,,,,,,
2017,George McGinnis,842,20.2,11,3.7,1.9,0.5,0.458,0.273,0.664,74.6,0.127
2017,Tracy McGrady,938,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,97.3,0.152
1993,Dick McGuire,738,8,4.2,5.7,,,0.389,,0.644,50.9,0.115
1999,Kevin McHale,971,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,113,0.18
2003,Dino Meneghin,,,,,,,,,,,
1993,Ann Meyers,,,,,,,,,,,
1959,George Mikan,439,23.1,13.4,2.8,,,0.404,,0.782,108.7,0.249
1995,Vern Mikkelsen,699,14.4,9.4,2.2,,,0.403,,0.766,83.4,0.17
1995,Cheryl Miller,,,,,,,,,,,
2012,Reggie Miller,1389,18.2,3,3,1.1,0.2,0.471,0.395,0.888,174.4,0.176
2016,Yao Ming,486,19,9.2,1.6,0.4,1.9,0.524,0.2,0.833,65.9,0.2
2019,Sidney Moncrief,767,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,90.3,0.187
1990,Earl Monroe,926,18.8,3,3.9,1,0.3,0.464,,0.807,77.4,0.125
2014,Alonzo Mourning,838,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.692,89.7,0.166
2011,Chris Mullin,986,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,93.1,0.139
1993,Calvin Murphy,1002,17.9,2.1,4.4,1.5,0.1,0.482,0.139,0.892,84.1,0.132
1960,Charles Murphy,,,,,,,,,,,
2015,Dikembe Mutombo,1196,9.8,10.3,1,0.4,2.8,0.518,0,0.684,117,0.153
2018,Steve Nash,1217,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164
2016,Shaquille O'Neal,1207,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208
2008,Hakeem Olajuwon,1238,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177
1962,Harlan Page,,,,,,,,,,,
2003,Robert Parish,1611,14.5,9.1,1.4,0.8,1.5,0.537,0,0.721,147,0.154
2013,Gary Payton,1335,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,145.5,0.148
2010,Maciel Pereira,,,,,,,,,,,
2002,Drazen Petrovic,290,15.4,2.3,2.4,0.9,0.1,0.506,0.437,0.841,21.5,0.134
1971,Bob Pettit,792,26.4,16.2,3,,,0.436,,0.761,136,0.213
1961,Andy Phillip,701,9.1,4.4,5.4,,,0.368,,0.695,53.3,0.077
2010,Scottie Pippen,1178,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,125.1,0.146
1978,Jim Pollard,438,13.2,7.8,3.2,,,0.36,,0.75,34.9,0.093
2016,Cumberland Posey,,,,,,,,,,,
2018,Dino Radja,224,16.7,8.4,1.6,0.9,1.3,0.497,0,0.735,14.3,0.094
1982,Frank Ramsey,623,13.4,5.5,1.8,,,0.399,,0.804,49.2,0.154
1982,Willis Reed,650,18.7,12.9,1.8,0.6,1.1,0.476,,0.747,74.9,0.156
2014,Mitch Richmond,976,21,3.9,3.5,1.2,0.3,0.455,0.388,0.85,79.3,0.111
1998,Arnie Risen,637,12,9.7,1.7,,,0.381,,0.699,56,0.119
1980,Oscar Robertson,1040,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,189.2,0.207
2009,David Robinson,987,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,178.7,0.25
2014,Guy Rodgers,892,11.7,4.3,7.8,,,0.378,,0.721,33.3,0.056
2011,Dennis Rodman,911,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15
1961,John Roosma,,,,,,,,,,,
1975,Bill Russell,963,15.1,22.5,4.3,,,0.44,,0.561,163.5,0.193
1964,John Russell,,,,,,,,,,,
2011,Arvydas Sabonis,470,12,7.3,2.1,0.8,1.1,0.5,0.328,0.786,47.3,0.2
2012,Ralph Sampson,456,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,20.1,0.071
1973,Dolph Schayes,996,18.5,12.1,3.1,,,0.38,,0.849,142.4,0.192
1974,Ernest Schmidt,,,,,,,,,,,
2013,Oscar Schmidt,,,,,,,,,,,
1959,John Schommer,,,,,,,,,,,
2018,Charlie Scott,717,20.7,4,4.9,1.3,0.3,0.448,0.253,0.773,41.4,0.078
1962,Barney Sedran,,,,,,,,,,,
1993,Uljana Semjonova,,,,,,,,,,,
1976,Bill Sharman,711,17.8,3.9,3,,,0.426,,0.883,82.8,0.178
2019,Jack Sikma,1107,15.6,9.8,3.2,1,0.9,0.464,0.328,0.849,112.5,0.146
2018,Katie Smith,,,,,,,,,,,
2013,Dawn Staley,,,,,,,,,,,
1961,Christian Steinmetz,,,,,,,,,,,
2009,John Stockton,1504,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209
2004,Maurice Stokes,202,16.4,17.3,5.3,,,0.351,,0.698,16.1,0.102
2016,Sheryl Swoopes,,,,,,,,,,,
2011,Goose Tatum,,,,,,,,,,,
2000,Isiah Thomas,979,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109
1996,David Thompson,592,22.7,4.1,3.3,1,0.9,0.505,0.255,0.781,63.3,0.156
1962,John (Cat) Thompson,,,,,,,,,,,
2018,Tina Thompson,,,,,,,,,,,
1985,Nate Thurmond,964,15,15,2.7,0.5,2.1,0.421,,0.667,78,0.104
