#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,Win Shares
107,Michael Kidd-Gilchrist,422,25.4,8.8,3.4,7.2,47.7,0.1,0.2,28.6,1.9,2.6,71.4,1.6,4,5.6,1.2,0.7,0.7,0.9,48,52.6,21.1
108,Kent Bazemore,495,20.8,8.7,3.1,7.5,41.7,1.1,3,35.1,1.4,2,71.8,0.4,2.8,3.1,1.9,1,0.5,1.5,48.8,52.2,11
109,Patty Mills,616,19,8.5,3.1,7.1,43.2,1.5,3.8,39.2,0.8,1,84.8,0.3,1.4,1.7,2.4,0.6,0.1,1,53.7,56.1,28.2
110,Mason Plumlee,482,22,8.4,3.3,5.8,57,0,0.1,6.9,1.8,3.2,56.5,2,4.3,6.3,2.2,0.8,1,1.5,57,58.4,31.6
111,Tyson Chandler,"1,144",27.5,8.3,3.1,5.2,59.7,0,0,0,2.1,3.2,64.5,3.1,6,9.1,0.8,0.5,1.2,1.4,59.7,62.6,101.9
112,Wayne Ellington,654,21.2,8.1,3,7.2,40.9,1.5,4,37.8,0.7,0.8,84.5,0.3,1.9,2.2,1.1,0.6,0.1,0.7,51.2,53.4,17.6
113,E'Twaun Moore,521,21.6,8.1,3.3,7.2,45.8,0.9,2.4,39.1,0.6,0.8,74.2,0.5,1.5,2,1.8,0.7,0.2,0.9,52.3,53.8,13.6
114,JaVale McGee,644,17.4,8,3.4,6,57.1,0,0,7.4,1.1,2,58.8,1.9,3.2,5.1,0.4,0.4,1.5,1,57.1,58.4,32.8
115,Joe Ingles,417,24.8,8,2.9,6.5,44.4,1.6,4,40.5,0.6,0.8,74.6,0.3,2.8,3.1,3.4,1,0.2,1.5,57.1,58.6,23.6
116,James Johnson,606,20.7,7.9,3.1,6.6,47.7,0.5,1.6,30.4,1.2,1.7,69.4,0.8,2.8,3.6,2.1,0.8,0.9,1.5,51.4,54.2,23.6
117,Alex Len,423,19.9,7.9,3,6.2,48.6,0.2,0.6,33.5,1.7,2.5,69.3,2,4.2,6.3,0.8,0.4,1,1.3,50.2,54.6,15.9
118,Gorgui Dieng,460,22.5,7.9,3.1,6.1,50.4,0.1,0.4,32,1.7,2.1,79,1.9,4.3,6.2,1.4,0.8,1,1.2,51.6,56.7,24.8
119,John Henson,406,20.1,7.8,3.3,6.1,53.9,0,0.1,26.7,1.1,2,56.9,1.9,3.6,5.4,1.1,0.5,1.5,1.1,54.2,55.5,19.3
120,Jared Dudley,854,23.1,7.7,2.8,6,46.5,1,2.6,39.4,1.1,1.5,73.2,0.9,2.3,3.3,1.6,0.8,0.2,0.9,54.9,57.7,42.3
121,Al-Farouq Aminu,681,25.1,7.7,2.8,6.6,42.2,0.8,2.3,33.6,1.3,1.7,74.7,1.4,4.7,6.1,1.2,1,0.6,1.2,48.1,51.9,27.8
122,Udonis Haslem,855,25.2,7.6,3.1,6.3,49,0,0.1,7.3,1.4,1.9,75.5,1.9,4.8,6.7,0.9,0.5,0.3,0.9,49,53.3,50.8
